trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
13	242.85044430000016	alternation	27		24	243.95519140000033	0.19995970000036323
13	243.05040400000053	alternation	28		24	244.1551511000007	0.19999790000019857
13	243.25040190000072	alternation	29		24	244.3551490000009	0.1999844000001758
13	243.4503863000009	alternation	30		24	244.55513340000107	0.20002729999941948
13	243.65041360000032	alternation	31		24	244.7551607000005	0.19998649999979534
13	243.85040010000012	alternation	32		24	244.95514720000028	0.19997760000023845
13	244.05037770000035	alternation	33		24	245.15512480000052	0.1999876999998378
13	244.2503654000002	alternation	34		24	245.35511250000036	0.1999985000002198
13	244.4503639000004	alternation	35		24	245.55511100000058	0.2000062999995862
13	244.6503702	alternation	36		24	245.75511730000017	0.1999831000002814
13	244.85035330000028	alternation	37		24	245.95510040000045	0.20001909999973577
13	245.05037240000001	alternation	38		24	246.15511950000018	0.19995470000048954
13	245.2503271000005	alternation	39		24	246.35507420000067	0.19997839999996359
14	245.45030550000047	text_phase	0		337	246.55505260000064	2.808264700000109
14	248.2421006000004	response	0	space		249.34684770000058	
15	248.25857020000058	alternation	0		25	249.36331730000074	0.20830899999964458
15	248.46687920000022	alternation	1		23	249.5716263000004	0.19165930000053777
15	248.65853850000076	alternation	2		25	249.76328560000093	0.2083372999995845
15	248.86687580000034	alternation	3		24	249.9716229000005	0.19998200000009092
15	249.06685780000043	alternation	4		24	250.1716049000006	0.19999430000007123
15	249.2668521000005	alternation	5		24	250.37159920000067	0.20000619999973424
15	249.46685830000024	alternation	6		24	250.5716054000004	0.19997969999985798
15	249.6668380000001	alternation	7		24	250.77158510000027	0.19827900000018417
15	249.86511700000028	alternation	8		24	250.96986410000045	0.20000640000034764
15	250.06512340000063	alternation	9		24	251.1698705000008	0.19999129999996512
15	250.2651147000006	alternation	10		24	251.36986180000076	0.20001489999958721
15	250.46512960000018	alternation	11		24	251.56987670000035	0.1999562999999398
15	250.66508590000012	alternation	12		24	251.7698330000003	0.20002610000028653
15	250.8651120000004	alternation	13		24	251.96985910000058	0.20000059999983932
15	251.06511260000025	alternation	14		24	252.16985970000042	0.1999578000004476
15	251.2650704000007	alternation	15		24	252.36981750000086	0.19999909999933152
15	251.46506950000003	alternation	16		24	252.5698166000002	0.20173520000025746
15	251.66680470000028	alternation	17		24	252.77155180000045	0.20003530000030878
15	251.8668400000006	alternation	18		24	252.97158710000076	0.19994709999991755
15	252.0667871000005	alternation	19		24	253.17153420000068	0.20001899999988382
15	252.2668061000004	alternation	20		24	253.37155320000056	0.199982899999668
15	252.46678900000006	alternation	21		24	253.57153610000023	0.19997690000036528
15	252.66676590000043	alternation	22		24	253.7715130000006	0.20000170000002981
15	252.86676760000046	alternation	23		24	253.97151470000063	0.19998839999971096
15	253.06675600000017	alternation	24		24	254.17150310000034	0.19999370000005
15	253.26674970000022	alternation	25		6	254.3714968000004	0.04998780000005354
15	253.3003105000007	response	25	space		254.40505760000087	
16	253.31673750000027	text_phase	0		899	254.42148460000044	7.4909793000006175
16	260.7918146000002	response	0	space		261.89656170000035	
17	260.8077168000009	alternation	0		25	261.91246390000106	0.2087967999996181
17	261.0165136000005	alternation	1		24	262.1212607000007	0.19996910000008938
17	261.2164827000006	alternation	2		24	262.32122980000076	0.19827689999965514
17	261.41475960000025	alternation	3		24	262.5195067000004	0.20000160000017786
17	261.61476120000043	alternation	4		24	262.7195083000006	0.1999831000002814
17	261.8147443000007	alternation	5		24	262.9194914000009	0.20003649999944173
17	262.01478080000015	alternation	6		24	263.1195279000003	0.19995860000017274
17	262.2147394000003	alternation	7		24	263.3194865000005	0.19998469999973167
17	262.41472410000006	alternation	8		24	263.5194712000002	0.19999000000007072
17	262.6147141000001	alternation	9		24	263.7194612000003	0.2000056000006225
17	262.81471970000075	alternation	10		24	263.9194668000009	0.20001830000001064
17	263.01473800000076	alternation	11		24	264.11948510000093	0.20170499999949243
17	263.21644300000025	alternation	12		24	264.3211901000004	0.2000069000005169
17	263.41644990000077	alternation	13		24	264.52119700000094	0.20000029999937396
17	263.61645020000014	alternation	14		24	264.7211973000003	0.2000318000000334
17	263.8164820000002	alternation	15		24	264.92122910000035	0.19992110000021057
17	264.0164031000004	alternation	16		24	265.12115020000056	0.2000229000004765
17	264.21642600000087	alternation	17		24	265.32117310000103	0.19829939999999624
17	264.41472540000086	alternation	18		24	265.51947250000103	0.19991899999968155
17	264.61464440000054	alternation	19		24	265.7193915000007	0.1999998000001142
17	264.81464420000066	alternation	20		24	265.9193913000008	0.20002089999979944
17	265.01466510000046	alternation	21		24	266.1194122000006	0.19997020000027987
17	265.21463530000074	alternation	22		24	266.3193824000009	0.20001619999948161
17	265.4146515000002	alternation	23		24	266.5193986000004	0.19997550000061892
17	265.61462700000084	alternation	24		13	266.719374100001	0.10832359999949404
17	265.7065792000003	response	24	space		266.8113263000005	
