trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
20	279.08092320000014	alternation	10		24	280.1856703000003	0.1998053000006621
20	279.2807285000008	alternation	11		24	280.385475600001	0.20013990000006743
20	279.4808684000009	alternation	12		24	280.58561550000104	0.20000619999973424
20	279.6808746000006	alternation	13		24	280.7856217000008	0.20006889999967825
20	279.8809435000003	alternation	14		24	280.98569060000045	0.19990729999972245
20	280.0808508	alternation	15		24	281.1855979000002	0.1999948000002405
20	280.28084560000025	alternation	16		24	281.3855927000004	0.19999139999981708
20	280.48083700000007	alternation	17		24	281.58558410000023	0.19999040000038804
20	280.68082740000045	alternation	18		23	281.7855745000006	0.1933945999999196
20	280.8742220000004	alternation	19		24	281.97896910000054	0.20002329999988433
20	281.07424530000026	alternation	20		24	282.1789924000004	0.20000530000015715
20	281.2742506000004	alternation	21		24	282.3789977000006	0.19994969999970635
20	281.4742003000001	alternation	22		24	282.5789474000003	0.19999100000040926
20	281.67419130000053	alternation	23		25	282.7789384000007	0.20662699999957113
20	281.8808183000001	alternation	24		24	282.98556540000027	0.19999770000049466
20	282.0808160000006	alternation	25		24	283.18556310000076	0.1999445999999807
20	282.2807606000006	alternation	26		23	283.38550770000074	0.19167560000005324
20	282.4643592000002	response	26	space		283.5691063000004	
20	282.47243620000063	alternation	27		1	283.5771833000008	0.008330799999384908
21	282.480767	alternation	0		25	283.5855141000002	0.20832590000009077
21	282.6890929000001	alternation	1		24	283.7938400000003	0.19999189999998634
21	282.8890848000001	alternation	2		24	283.99383190000026	0.20005380000020523
21	283.0891386000003	alternation	3		24	284.19388570000046	0.1999324999997043
21	283.2890711	alternation	4		24	284.39381820000017	0.2000322000003507
21	283.48910330000035	alternation	5		23	284.5938504000005	0.1934529999998631
21	283.6825563000002	alternation	6		24	284.7873034000004	0.19996390000051179
21	283.8825202000007	alternation	7		24	284.9872673000009	0.1999644999996235
21	284.08248470000035	alternation	8		24	285.1872318000005	0.19995190000008733
21	284.28243660000044	alternation	9		24	285.3871837000006	0.20005459999993036
21	284.48249120000037	alternation	10		24	285.58723830000054	0.1999618999998347
21	284.6824531000002	alternation	11		25	285.78720020000037	0.2065736000004108
21	284.8890267000006	alternation	12		24	285.9937738000008	0.20001140000022133
21	285.08903810000083	alternation	13		24	286.193785200001	0.2000198999994609
21	285.2890580000003	alternation	14		24	286.39380510000046	0.19996640000044863
21	285.48902440000074	alternation	15		24	286.5937715000009	0.20000739999977668
21	285.6890318000005	alternation	16		24	286.7937789000007	0.19997520000015356
21	285.8890070000007	alternation	17		24	286.99375410000084	0.2000092999996923
21	286.08901630000037	alternation	18		24	287.19376340000053	0.19996509999964474
21	286.2889814	alternation	19		24	287.3937285000002	0.19999800000005052
21	286.48897940000006	alternation	20		23	287.59372650000023	0.19340960000045015
21	286.6823890000005	alternation	21		24	287.7871361000007	0.20006959999955143
21	286.88245860000006	alternation	22		16	287.98720570000023	0.13326860000051965
21	286.9932436000008	response	22	space		288.097990700001	
22	287.0157272000006	alternation	0		25	288.12047430000075	0.20825299999978597
22	287.22398020000037	alternation	1		24	288.32872730000054	0.20003470000028756
22	287.42401490000066	alternation	2		24	288.5287620000008	0.19833990000006452
22	287.6223548000007	alternation	3		24	288.7271019000009	0.1999391999997897
22	287.8222940000005	alternation	4		24	288.9270411000007	0.19996890000038547
22	288.0222629000009	alternation	5		24	289.12701000000106	0.19999559999996563
22	288.22225850000086	alternation	6		24	289.32700560000103	0.19997559999956138
22	288.4222341000004	alternation	7		24	289.5269812000006	0.20001279999996768
22	288.6222469000004	alternation	8		24	289.72699400000056	0.20002320000003238
22	288.8222701000004	alternation	9		24	289.9270172000006	0.2000238000000536
22	289.0222939000005	alternation	10		24	290.12704100000064	0.19997390000025916
22	289.22226780000074	alternation	11		24	290.3270149000009	0.20174090000000433
22	289.42400870000074	alternation	12		24	290.5287558000009	0.20005399999990914
22	289.62406270000065	alternation	13		24	290.7288098000008	0.1998740999997608
22	289.8239368000004	alternation	14		24	290.9286839000006	0.20013790000029985
22	290.0240747000007	alternation	15		24	291.1288218000009	0.19991659999959666
22	290.2239913000003	alternation	16		24	291.3287384000005	0.19769360000009328
22	290.4216849000004	alternation	17		24	291.52643200000057	0.20053490000009333
22	290.6222198000005	alternation	18		24	291.72696690000066	0.19994899999983318
22	290.8221688000003	alternation	19		24	291.9269159000005	0.1999961000001349
22	291.02216490000046	alternation	20		24	292.12691200000063	0.20002600000043458
22	291.2221909000009	alternation	21		24	292.32693800000106	0.19996099999934813
22	291.42215190000024	alternation	22		24	292.5268990000004	0.20004280000011931
22	291.62219470000036	alternation	23		24	292.72694180000053	0.19982330000038928
22	291.82201800000075	alternation	24		21	292.9267651000009	0.17511449999983597
22	291.9806993000002	response	24	space		293.08544640000036	
23	291.9971325000006	alternation	0		25	293.10187960000076	0.20834689999992406
23	292.2054794000005	alternation	1		23	293.3102265000007	0.19339099999979226
23	292.3988704000003	alternation	2		24	293.5036175000005	0.19998600000053557
23	292.59885640000084	alternation	3		24	293.703603500001	0.20006869999997434
23	292.7989251000008	alternation	4		24	293.903672200001	0.19994489999953657
23	292.99887000000035	alternation	5		24	294.1036171000005	0.19998339999983727
23	293.1988534000002	alternation	6		25	294.30360050000036	0.20657280000068567
23	293.4054262000009	alternation	7		23	294.51017330000104	0.19169409999994969
23	293.5971203000008	alternation	8		25	294.701867400001	0.20831169999928534
23	293.8054320000001	alternation	9		24	294.9101791000003	0.19997390000025916
