trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
30	317.70217880000007	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	319.7691131	2.9998918000000003
30	318.4357295	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	320.50266379999994	
31	320.70207060000007	phase0	0		344	200.0	2.0	0.15	2.0	0.75	0.25	0.2	322.7690049	2.8665931999998975
31	323.56866379999997	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	325.6355980999999	3.9998231000000715
31	327.56848690000004	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	329.6354212	0.09999800000002779
31	327.66848490000007	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	329.7354192	2.9999542999998994
31	328.2836555	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	330.35058979999997	
32	330.66843919999997	phase0	0		301	200.0	2.0	0.15	2.0	0.75	0.25	0.2	332.7353734999999	2.5082020000000966
32	333.17664120000006	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	335.2435755	3.9999000999999907
32	337.17654130000005	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	339.2434756	0.24998589999995602
32	337.4265272	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	339.49346149999997	2.999919200000022
32	338.1608232	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	340.22775749999994	
33	340.42644640000003	phase0	0		153	200.0	2.0	0.15	2.0	0.75	0.25	0.2	342.4933807	1.2732158000000027
33	341.69966220000003	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	343.7665965	4.001597100000026
33	345.70125930000006	phase2	2		30	200.0	2.0	0.15	2.0	0.75	0.25	0.2	347.7681936	0.25000599999998485
33	345.95126530000005	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	348.0181996	2.999836999999957
33	346.9764427	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	349.04337699999996	
34	348.9511023	phase0	0		316	200.0	2.0	0.15	2.0	0.75	0.25	0.2	351.01803659999996	2.6333115999999563
34	351.58441389999996	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	353.6513481999999	3.9998701000000665
34	355.584284	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	357.6512183	0.29999290000000656
34	355.88427690000003	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	357.9512112	2.9999296999999387
34	356.40016030000004	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	358.4670946	
35	358.88420659999997	phase0	0		270	200.0	2.0	0.15	2.0	0.75	0.25	0.2	360.9511408999999	2.2499318999999787
35	361.13413849999995	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	363.2010727999999	3.999863000000005
35	365.13400149999995	phase2	2		18	200.0	2.0	0.15	2.0	0.75	0.25	0.2	367.2009357999999	0.1499939999999924
35	365.28399549999995	phase3	3		361	200.0	2.0	0.15	2.0	0.75	0.25	0.2	367.3509297999999	3.008230700000013
35	366.85924109999996	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	368.9261753999999	
36	368.29222619999996	phase0	0		243	200.0	2.0	0.15	2.0	0.75	0.25	0.2	370.3591604999999	2.0249509000000216
36	370.3171771	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	372.38411139999994	3.999875299999985
36	374.31705239999997	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	376.3839866999999	0.002109900000050402
36	374.3191623	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	376.3860966	2.9978151000000253
36	375.400537	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	377.46747129999994	
37	377.31697740000004	phase0	0		174	200.0	2.0	0.15	2.0	0.75	0.25	0.2	379.3839117	1.4499349999999822
37	378.7669124	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	380.8338467	3.9998743999999533
37	382.7667868	phase2	2		6	200.0	2.0	0.15	2.0	0.75	0.25	0.2	384.83372109999993	0.04999190000000908
37	382.8167787	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	384.88371299999994	2.9999211000000514
37	383.85694319999993	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	385.9238774999999	
38	385.81669980000004	phase0	0		207	200.0	2.0	0.15	2.0	0.75	0.25	0.2	387.8836341	1.724949899999956
38	387.5416497	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	389.60858399999995	3.9998672000000397
38	391.54151690000003	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	393.6084512	0.0021658999999090156
38	391.54368279999994	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	393.6106170999999	2.997741000000019
38	392.69255369999996	response	3	left		200.0	2.0	0.15	2.0	0.75	0.25	0.2	394.7594879999999	
39	394.54142379999996	phase0	0		203	200.0	2.0	0.15	2.0	0.75	0.25	0.2	396.6083580999999	1.6916795000000775
