trial_nr	onset	event_type	phase	response	nr_frames	n_dots	sphere_radius	dot_size	rotation_speed	depth_mod_center	depth_mod_amp	ambiguous_dot_size	onset_abs	duration
36	334.7264143	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	336.77219980000007	
37	335.6845048	phase0	0		174	200.0	2.0	0.15	2.0	0.75	0.25	0.2	337.7302903000001	1.449931099999958
37	337.13443589999997	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	339.18022140000005	3.999869600000011
37	341.1343055	phase2	2		6	200.0	2.0	0.15	2.0	0.75	0.25	0.2	343.18009100000006	0.05000730000006115
37	341.18431280000004	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	343.2300983000001	2.9982142999999724
37	343.68270299999995	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	345.7284885	
38	344.1825271	phase0	0		207	200.0	2.0	0.15	2.0	0.75	0.25	0.2	346.2283126000001	1.7266798000000563
38	345.9092069000001	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	347.95499240000015	3.999846499999876
38	349.90905339999995	phase2	2		0	200.0	2.0	0.15	2.0	0.75	0.25	0.2	351.9548389	0.00210800000013478
38	349.9111614000001	phase3	3		359	200.0	2.0	0.15	2.0	0.75	0.25	0.2	351.95694690000016	2.997856400000046
38	352.3925755	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	354.4383610000001	
39	352.90901780000013	phase0	0		203	200.0	2.0	0.15	2.0	0.75	0.25	0.2	354.9548033000002	1.691554399999859
39	354.6005722	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	356.64635770000007	3.9998586000001524
39	358.60043080000014	phase2	2		12	200.0	2.0	0.15	2.0	0.75	0.25	0.2	360.6462163000002	0.09828489999995327
39	358.6987157000001	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	360.7445012000002	3.0016435
39	361.1006093000001	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	363.14639480000017	
40	361.7003592000001	phase0	0		258	200.0	2.0	0.15	2.0	0.75	0.25	0.2	363.7461447000002	2.14996229999997
40	363.85032150000006	phase1	1		480	200.0	2.0	0.15	2.0	0.75	0.25	0.2	365.89610700000014	3.9998441000000184
40	367.8501656000001	phase2	2		36	200.0	2.0	0.15	2.0	0.75	0.25	0.2	369.89595110000016	0.29999309999993784
40	368.1501587	phase3	3		360	200.0	2.0	0.15	2.0	0.75	0.25	0.2	370.1959442000001	2.9998875000001135
40	370.55862920000004	response	3	right		200.0	2.0	0.15	2.0	0.75	0.25	0.2	372.6044147000001	
41	371.15004620000013	phase0	0		93	200.0	2.0	0.15	2.0	0.75	0.25	0.2	373.1958317000002	0.7732711999999538
41	371.9233174000001	phase1	1		60	200.0	2.0	0.15	2.0	0.75	0.25	0.2	373.96910290000017	0.5000271999999768
41	372.42334460000006	phase2	2		219	200.0	2.0	0.15	2.0	0.75	0.25	0.2	374.46913010000014	1.8266237000000274
